Disease::DOID:0050156	idiopathic pulmonary fibrosis	特发性肺纤维化
Disease::MESH:D018879	Ventricular Premature Complexes	心室早搏综合征
Disease::MESH:D018880	Atrial Premature Complexes	心房早搏综合征
Disease::MESH:D018882	Heat Stress Disorders	热应激障碍
Disease::MESH:D018883	Heat Stroke	中暑
Disease::MESH:D018886	Aphasia, Conduction	失语症，传导
Disease::MESH:D018887	Landau-Kleffner Syndrome	Landau Kleffner综合征
Disease::MESH:D018901	Peroxisomal Disorders	过氧化小体疾病
Disease::MESH:D018902	Chondrodysplasia Punctata, Rhizomelic	Punctta软骨发育不良，根茎型
Disease::MESH:D018908	Muscle Weakness	肌肉虚弱
Disease::MESH:D018917	Optic Neuropathy, Ischemic	视神经病变，缺血性
Disease::MESH:D018921	Leukostasis	白血病
Disease::MESH:D018923	Persian Gulf Syndrome	波斯湾综合征
Disease::MESH:D018979	Myositis, Inclusion Body	肌炎，包涵体
Disease::MESH:D018980	Williams Syndrome	威廉姆斯综合征
Disease::MESH:D018981	Congenital Disorders of Glycosylation	先天性糖基化障碍
Disease::MESH:D019042	Muscle Neoplasms	肌肉肿瘤
Disease::MESH:D019043	Vascular Neoplasms	血管肿瘤
Disease::MESH:D019048	Prostatic Intraepithelial Neoplasia	前列腺上皮内肿瘤
Disease::MESH:D019052	Depression, Postpartum	抑郁症，产后
Disease::MESH:D019082	Smith-Lemli-Opitz Syndrome	Smith-Lemli-Opitz综合征
Disease::MESH:D019106	Postoperative Hemorrhage	术后出血
Disease::MESH:D019142	Hemorrhagic Fever, Ebola	出血热，埃博拉
Disease::MESH:D019148	Neuromuscular Blockade	神经肌肉阻滞
Disease::MESH:D019150	Neuroaxonal Dystrophies	神经轴突营养不良
Disease::MESH:D019189	Iron Metabolism Disorders	铁代谢障碍
Disease::MESH:D019190	Iron Overload	熨斗过载
Disease::MESH:D019214	Gingival Overgrowth	牙龈过度生长
Disease::MESH:D019217	Tooth Attrition	牙齿磨损
Disease::MESH:D019226	Oral Ulcer	口腔溃疡
Disease::MESH:D019247	HIV Wasting Syndrome	HIV耗损综合征
Disease::MESH:D019263	Dysthymic Disorder	心境障碍
Disease::MESH:D019280	Branchio-Oto-Renal Syndrome	Branchio-Oto肾综合征
Disease::MESH:D019282	Wasting Syndrome	消瘦综合征
Disease::MESH:D019283	Pancreatitis, Acute Necrotizing	胰腺炎，急性坏死性
Disease::MESH:D019288	Herpesvirus 8, Human	疱疹病毒8，人
Disease::MESH:D019292	Skull Base Neoplasms	颅底肿瘤
Disease::MESH:D019294	Xanthomatosis, Cerebrotendinous	黄瘤病，脑囊虫病
Disease::MESH:D019305	Epilepsy, Rolandic	癫痫，Rolandic
Disease::MESH:D019310	Pseudolymphoma	假淋巴瘤
Disease::MESH:D019318	Porcine Reproductive and Respiratory Syndrome	猪繁殖与呼吸综合征
Disease::MESH:D019320	Embolism, Paradoxical	栓塞，矛盾
Disease::MESH:D019337	Hematologic Neoplasms	血液肿瘤
Disease::MESH:D019339	Port-Wine Stain	波特酒渍
Disease::MESH:D019446	Endotoxemia	内毒素血症
Disease::MESH:D019449	Pouchitis	Pouchitis公司
Disease::MESH:D019457	Chromosome Breakage	染色体断裂
Disease::MESH:D019462	Syncope, Vasovagal	晕厥，Vasovagal
Disease::MESH:D019465	Craniofacial Abnormalities	颅面畸形
Disease::MESH:D019512	Pancreatitis, Alcoholic	胰腺炎，酒精性
Disease::MESH:D019522	Vaginal Discharge	阴道分泌物
Disease::MESH:D019534	Shoulder Impingement Syndrome	肩撞击综合征
Disease::MESH:D019547	Neck Pain	颈部疼痛
Disease::MESH:D019553	Tooth, Nonvital	牙齿，非重要
Disease::MESH:D019557	Dermatitis, Perioral	皮炎，口腔周围
Disease::MESH:D019559	Capillary Leak Syndrome	毛细血管渗漏综合征
Disease::MESH:D019571	Arrhythmogenic Right Ventricular Dysplasia	致心律失常性右心室发育不良
Disease::MESH:D019572	Retinal Neoplasms	视网膜肿瘤
Disease::MESH:D019575	Blindness, Cortical	失明，皮质
Disease::MESH:D019578	Multiple System Atrophy	多系统萎缩
Disease::MESH:D019584	Hot Flashes	热闪光
Disease::MESH:D019586	Intracranial Hypertension	颅内高血压
Disease::MESH:D019588	Aging, Premature	老化，过早
Disease::MESH:D019595	Severe Dengue	严重登革热
Disease::MESH:D019636	Neurodegenerative Diseases	神经退行性疾病
Disease::MESH:D019693	Hepatitis, Autoimmune	肝炎，自身免疫
Disease::MESH:D019694	Hepatitis B, Chronic	乙型肝炎，慢性
Disease::MESH:D019698	Hepatitis C, Chronic	丙型肝炎，慢性
Disease::MESH:D019701	Hepatitis D, Chronic	D型肝炎，慢性
Disease::MESH:D019767	Maxillofacial Abnormalities	颌面部异常
Disease::MESH:D019838	Neck Injuries	颈部受伤
Disease::MESH:D019846	Miller Fisher Syndrome	米勒-费希尔综合征
Disease::MESH:D019851	Thrombophilia	血友病
Disease::MESH:D019867	Anti-Glomerular Basement Membrane Disease	抗肾小球基膜疾病
Disease::MESH:D019871	Dyskeratosis Congenita	先天性角化不良
Disease::MESH:D019873	Schnitzler Syndrome	Schnitzler综合征
Disease::MESH:D019896	alpha 1-Antitrypsin Deficiency	α1-抗胰蛋白酶缺乏症
Disease::MESH:D019952	nothing	不存在
Disease::MESH:D019954	Neurobehavioral Manifestations	神经行为学表现
Disease::MESH:D019955	Conduct Disorder	行为障碍
Disease::MESH:D019957	Motor Skills Disorders	运动技能障碍
Disease::MESH:D019958	Attention Deficit and Disruptive Behavior Disorders	注意力缺陷和破坏性行为障碍
Disease::MESH:D019964	Mood Disorders	情绪障碍
Disease::MESH:D019965	Neurocognitive Disorders	神经认知障碍
Disease::MESH:D019966	Substance-Related Disorders	物质相关疾病
Disease::MESH:D019968	Sexual and Gender Disorders	性和性别障碍
Disease::MESH:D019969	Amphetamine-Related Disorders	安非他命相关疾病
Disease::MESH:D019970	Cocaine-Related Disorders	可卡因相关疾病
Disease::MESH:D019973	Alcohol-Related Disorders	酒精相关疾病
Disease::MESH:D020016	Activated Protein C Resistance	活化蛋白C抗性
Disease::MESH:D020018	Sexual Dysfunctions, Psychological	性功能障碍，心理
Disease::MESH:D020019	Neurocysticercosis	神经囊尾蚴病
Disease::MESH:D020031	Epstein-Barr Virus Infections	爱泼斯坦巴尔病毒感染
Disease::MESH:D020042	Histiocytic Necrotizing Lymphadenitis	组织细胞坏死性淋巴结炎
Disease::MESH:D020061	Phthirus	邻苯二甲酸酯
Disease::MESH:D020065	Hepatopulmonary Syndrome	肝肺综合征
Disease::MESH:D020069	Shoulder Pain	肩部疼痛
Disease::MESH:D020078	Neurogenic Inflammation	神经源性炎症
Disease::MESH:D020083	Acquired Hyperostosis Syndrome	后天性骨质增生综合征
Disease::MESH:D020096	Zygomycosis	接合霉菌病
Disease::MESH:D020138	Hyperhomocysteinemia	高同型半胱氨酸血症
Disease::MESH:D020139	Gastroschisis	腹裂
Disease::MESH:D020141	Hemostatic Disorders	止血障碍
Disease::MESH:D020143	Gangliosidoses, GM2	神经节苷脂，GM2
Disease::MESH:D020144	Basal Ganglia Cerebrovascular Disease	基底节脑血管病
Disease::MESH:D020146	Putaminal Hemorrhage	肝出血
Disease::MESH:D020151	Protein C Deficiency	蛋白质C缺乏
Disease::MESH:D020152	Antithrombin III Deficiency	抗凝血酶III缺乏
Disease::MESH:D020158	Hyperglycinemia, Nonketotic	高血糖症，非酮症
Disease::MESH:D020159	Citrullinemia	瓜氨酸血症
Disease::MESH:D020163	Ornithine Carbamoyltransferase Deficiency Disease	鸟氨酸氨基转移酶缺乏症
Disease::MESH:D020165	Carbamoyl-Phosphate Synthase I Deficiency Disease	氨甲酰磷酸合成酶I缺乏症
Disease::MESH:D020167	Hyperlysinemias	溶血素血症
Disease::MESH:D020176	Tyrosinemias	酪氨酸虫属
Disease::MESH:D020177	Idiopathic Hypersomnia	特发性嗜睡症
Disease::MESH:D020178	Sleep Disorders, Circadian Rhythm	睡眠障碍，昼夜节律
Disease::MESH:D020179	Jet Lag Syndrome	时差综合症
Disease::MESH:D020181	Sleep Apnea, Obstructive	睡眠呼吸暂停，阻塞性
Disease::MESH:D020182	Sleep Apnea, Central	睡眠呼吸暂停，中枢
Disease::MESH:D020184	Night Terrors	夜间恐怖
Disease::MESH:D020186	Sleep Bruxism	夜磨牙症
Disease::MESH:D020187	REM Sleep Behavior Disorder	REM睡眠行为障碍
Disease::MESH:D020189	Nocturnal Myoclonus Syndrome	夜间肌阵挛综合征
Disease::MESH:D020190	Myoclonic Epilepsy, Juvenile	肌阵挛性癫痫，青少年
Disease::MESH:D020191	Myoclonic Epilepsies, Progressive	肌阵挛性癫痫，进行性
Disease::MESH:D020192	Lafora Disease	Lafora病
Disease::MESH:D020194	Unverricht-Lundborg Syndrome	Unverricht-Lundborg综合征
Disease::MESH:D020195	Epilepsy, Reflex	癫痫，反射
Disease::MESH:D020196	Trauma, Nervous System	创伤，神经系统
Disease::MESH:D020199	Hematoma, Subdural, Acute	血肿，硬膜下，急性
Disease::MESH:D020200	Hematoma, Subdural, Chronic	血肿，硬膜下，慢性
Disease::MESH:D020208	Brain Injury, Chronic	慢性脑损伤
Disease::MESH:D020209	Cranial Nerve Injuries	颅神经损伤
Disease::MESH:D020211	Autonomic Dysreflexia	自主性反射障碍
Disease::MESH:D020212	Carotid Artery Injuries	颈动脉损伤
Disease::MESH:D020214	Cerebrovascular Trauma	脑血管创伤
Disease::MESH:D020217	Vertebral Artery Dissection	椎动脉夹层
Disease::MESH:D020220	Facial Nerve Injuries	面神经损伤
Disease::MESH:D020221	Optic Nerve Injuries	视神经损伤
Disease::MESH:D020230	Serotonin Syndrome	血清素综合征
Disease::MESH:D020233	Gait Disorders, Neurologic	步态障碍，神经学
Disease::MESH:D020236	Amnesia, Transient Global	失忆症，短暂性全球
Disease::MESH:D020238	Prosopagnosia	前生症
Disease::MESH:D020241	Encephalomyelitis, Western Equine	脑脊髓炎，西部马
Disease::MESH:D020243	Infarction, Anterior Cerebral Artery	梗塞，大脑前动脉
Disease::MESH:D020244	Infarction, Middle Cerebral Artery	梗塞，大脑中动脉
Disease::MESH:D020246	Venous Thrombosis	静脉血栓形成
Disease::MESH:D020250	Postoperative Nausea and Vomiting	术后恶心呕吐
Disease::MESH:D020252	Gastric Antral Vascular Ectasia	胃窦血管扩张
Disease::MESH:D020255	Vitreous Detachment	玻璃体脱离
Disease::MESH:D020256	Choroidal Neovascularization	脉络膜新生血管化
Disease::MESH:D020257	Ventricular Remodeling	心室重塑
Disease::MESH:D020258	Neurotoxicity Syndromes	神经中毒综合征
Disease::MESH:D020261	Arsenic Poisoning	砷中毒
Disease::MESH:D020262	Mercury Poisoning, Nervous System	汞中毒，神经系统
Disease::MESH:D020267	MPTP Poisoning	MPTP中毒
Disease::MESH:D020270	Alcohol Withdrawal Seizures	酒精戒断发作
Disease::MESH:D020271	Heredodegenerative Disorders, Nervous System	遗传性疾病，神经系统
Disease::MESH:D020274	Autoimmune Diseases of the Nervous System	神经系统自身免疫疾病
Disease::MESH:D020275	Guillain-Barre Syndrome	格林-巴利综合征
Disease::MESH:D020276	HIV Long-Term Survivors	HIV长期幸存者
Disease::MESH:D020277	Polyradiculoneuropathy, Chronic Inflammatory Demyelinating	多神经根神经病，慢性炎症性脱髓鞘
Disease::MESH:D020278	Demyelinating Autoimmune Diseases, CNS	脱髓鞘自身免疫疾病，中枢神经系统
Disease::MESH:D020279	Hereditary Central Nervous System Demyelinating Diseases	遗传性中枢神经系统脱髓鞘疾病
Disease::MESH:D020288	Papilloma, Choroid Plexus	乳头瘤，脉络丛
Disease::MESH:D020293	Vasculitis, Central Nervous System	血管炎，中枢神经系统
Disease::MESH:D020294	Myasthenic Syndromes, Congenital	肌无力综合征，先天性
Disease::MESH:D020295	Brain Stem Neoplasms	脑干肿瘤
Disease::MESH:D020299	Intracranial Hemorrhage, Hypertensive	颅内出血，高血压
Disease::MESH:D020300	Intracranial Hemorrhages	颅内出血
Disease::MESH:D020301	Vasospasm, Intracranial	血管痉挛，颅内
Disease::MESH:D020323	Tics	Tics公司
Disease::MESH:D020325	Migraine with Aura	偏头痛伴先兆
Disease::MESH:D020326	Migraine without Aura	无先兆偏头痛
Disease::MESH:D020329	Essential Tremor	基本震颤
Disease::MESH:D020330	Bell Palsy	贝尔麻痹症
Disease::MESH:D020333	Tolosa-Hunt Syndrome	Tolosa-Hunt综合征
Disease::MESH:D020336	Paraparesis, Spastic	麻痹，痉挛
Disease::MESH:D020338	Vestibular Neuronitis	前庭神经元炎
Disease::MESH:D020339	Optic Nerve Glioma	视神经胶质瘤
Disease::MESH:D020345	Enterocolitis, Necrotizing	小肠结肠炎，坏死性
Disease::MESH:D020347	Lithiasis	结石
Disease::MESH:D020362	Paraneoplastic Cerebellar Degeneration	副肿瘤性小脑变性
Disease::MESH:D020363	Limbic Encephalitis	边缘性脑炎
Disease::MESH:D020370	Osteoarthritis, Knee	骨关节炎，膝盖
Disease::MESH:D020371	Pelizaeus-Merzbacher Disease	Pelizaeus-Merzbacher病
Disease::MESH:D020385	Myokymia	肌球蛋白血症
Disease::MESH:D020386	Isaacs Syndrome	Isaacs综合征
Disease::MESH:D020388	Muscular Dystrophy, Duchenne	肌肉营养不良，Duchenne
Disease::MESH:D020389	Muscular Dystrophy, Emery-Dreifuss	肌肉营养不良，Emery Dreifuss
Disease::MESH:D020417	Nystagmus, Congenital	眼球震颤，先天性
Disease::MESH:D020423	Median Neuropathy	正中神经病变
Disease::MESH:D020425	Radial Neuropathy	桡神经病变
Disease::MESH:D020426	Sciatic Neuropathy	坐骨神经病变
Disease::MESH:D020432	Trochlear Nerve Diseases	滑车神经疾病
Disease::MESH:D020433	Trigeminal Nerve Diseases	三叉神经疾病
Disease::MESH:D020434	Abducens Nerve Diseases	绑架神经疾病
Disease::MESH:D020435	Glossopharyngeal Nerve Diseases	舌咽神经疾病
Disease::MESH:D020437	Hypoglossal Nerve Diseases	舌下神经疾病
Disease::MESH:D020447	Parasomnias	寄生虫属
Disease::MESH:D020511	Neuromuscular Junction Diseases	神经肌肉连接疾病
Disease::MESH:D020512	Myopathy, Central Core	肌病，中央核心
Disease::MESH:D020513	Paralysis, Hyperkalemic Periodic	麻痹，高钾周期性
Disease::MESH:D020514	Hypokalemic Periodic Paralysis	低钾性周期性麻痹
Disease::MESH:D020516	Brachial Plexus Neuropathies	臂丛神经病
Disease::MESH:D020518	Focal Nodular Hyperplasia	局灶性结节增生
Disease::MESH:D020520	Brain Infarction	脑梗塞
Disease::MESH:D020521	Stroke	(打、击等的)一下
Disease::MESH:D020522	Lymphoma, Mantle-Cell	淋巴瘤，地幔细胞
Disease::MESH:D020528	Multiple Sclerosis, Chronic Progressive	多发性硬化，慢性进行性
Disease::MESH:D020529	Multiple Sclerosis, Relapsing-Remitting	多发性硬化，复发缓解
Disease::MESH:D020642	Acatalasia	阿卡塔西亚
Disease::MESH:D020720	Myasthenia Gravis, Autoimmune, Experimental	重症肌无力，自身免疫，实验性
Disease::MESH:D020734	Parkinsonian Disorders	帕金森病
Disease::MESH:D020739	Brain Diseases, Metabolic, Inborn	脑疾病，代谢性，先天性
Disease::MESH:D020752	Neurocutaneous Syndromes	神经皮肤综合征
Disease::MESH:D020754	Spinocerebellar Ataxias	脊柱小脑共济失调
Disease::MESH:D020760	Spinal Cord Ischemia	脊髓缺血
Disease::MESH:D020762	Infarction, Posterior Cerebral Artery	梗塞，大脑后动脉
Disease::MESH:D020765	Intracranial Arterial Diseases	颅内动脉疾病
Disease::MESH:D020766	Intracranial Embolism	颅内栓塞
Disease::MESH:D020767	Intracranial Thrombosis	颅内血栓形成
Disease::MESH:D020773	Headache Disorders	头痛障碍
Disease::MESH:D020774	Pick Disease of the Brain	脑部皮克病
Disease::MESH:D020785	Central Nervous System Vascular Malformations	中枢神经系统血管畸形
Disease::MESH:D020786	Hemangioma, Cavernous, Central Nervous System	血管瘤，海绵状，中枢神经系统
Disease::MESH:D020788	Bardet-Biedl Syndrome	Bardet-Beidl综合征
Disease::MESH:D020790	Diabetes Insipidus, Neurogenic	神经源性血脂异常糖尿病
Disease::MESH:D020795	Photophobia	恐光症
Disease::MESH:D020802	Epidural Abscess	硬膜外脓肿
Disease::MESH:D020803	Encephalitis, Herpes Simplex	脑炎，单纯疱疹
Disease::MESH:D020804	Encephalitis, Varicella Zoster	脑炎，水痘带状疱疹
Disease::MESH:D020805	Central Nervous System Viral Diseases	中枢神经系统病毒性疾病
Disease::MESH:D020808	Central Nervous System Protozoal Infections	中枢神经系统原虫感染
Disease::MESH:D020817	Asperger Syndrome	阿斯伯格综合征
Disease::MESH:D020818	Neuroschistosomiasis	神经血吸虫病
Disease::MESH:D020820	Dyskinesias	运动困难
Disease::MESH:D020821	Dystonic Disorders	强直性障碍
Disease::MESH:D020852	Lyme Neuroborreliosis	神经莱姆病
Disease::MESH:D020863	Central Nervous System Cysts	中枢神经系统囊肿
Disease::MESH:D020886	Somatosensory Disorders	躯体感觉障碍
Disease::MESH:D020896	Hypovolemia	低血容量
Disease::MESH:D020914	Myopathies, Structural, Congenital	肌病，结构性，先天性
Disease::MESH:D020915	Korsakoff Syndrome	Korsakoff综合征
Disease::MESH:D020920	Dyssomnias	睡眠障碍
Disease::MESH:D020922	Sleep-Wake Transition Disorders	睡眠-觉醒转换障碍
Disease::MESH:D020925	Hypoxia-Ischemia, Brain	缺氧缺血，脑
Disease::MESH:D020936	Epilepsy, Benign Neonatal	癫痫，良性新生儿
Disease::MESH:D020938	Epilepsy, Partial, Motor	癫痫，部分性，运动性
Disease::MESH:D020943	AIDS Arteritis, Central Nervous System	AIDS动脉炎，中枢神经系统
Disease::MESH:D020945	Lupus Vasculitis, Central Nervous System	狼疮性血管炎，中枢神经系统
Disease::MESH:D020953	Neuroaspergillosis	神经曲霉病
Disease::MESH:D020955	Striatonigral Degeneration	纹状体退化
Disease::MESH:D020961	Lewy Body Disease	路易体病
Disease::MESH:D020964	Embryo Loss	胚胎丢失
Disease::MESH:D020966	Muscular Disorders, Atrophic	肌肉疾病，萎缩
Disease::MESH:D020967	Myotonic Disorders	肌张力障碍
Disease::MESH:D020968	Brachial Plexus Neuritis	臂丛神经炎
Disease::MESH:D021081	Chronobiology Disorders	时间生物学障碍
Disease::MESH:D021181	Egg Hypersensitivity	鸡蛋过敏
Disease::MESH:D021182	Wheat Hypersensitivity	小麦过敏
Disease::MESH:D021183	Peanut Hypersensitivity	花生过敏
Disease::MESH:D021441	Carcinoma, Pancreatic Ductal	癌, 胰腺管
Disease::MESH:D021865	Isosporiasis	异孢子虫病
Disease::MESH:D021921	Aortic Stenosis, Supravalvular	主动脉狭窄，瓣上
Disease::MESH:D022124	Hyperammonemia	高氨血症
Disease::MESH:D022125	Lacerations	系带
Disease::MESH:D022861	Hermanski-Pudlak Syndrome	Hermanski Pudlak综合征
Disease::MESH:D023903	Coronary Restenosis	冠状动脉再狭窄
Disease::MESH:D023921	Coronary Stenosis	冠状动脉狭窄
Disease::MESH:D023981	Sarcoma, Myeloid	肉瘤，髓样
Disease::MESH:D024182	Uniparental Disomy	单亲性疾病
Disease::MESH:D024741	Cardiomyopathy, Hypertrophic, Familial	心肌病，肥厚型，家族性
Disease::MESH:D024801	Tauopathies	金牛座
Disease::MESH:D024821	Metabolic Syndrome	代谢综合征
Disease::MESH:D025063	Chromosome Disorders	染色体疾病
Disease::MESH:D025241	Spondylarthritis	脊椎关节炎
Disease::MESH:D025242	Spondylarthropathies	脊椎关节病
Disease::MESH:D025861	Blood Coagulation Disorders, Inherited	遗传性凝血障碍
Disease::MESH:D025962	Septo-Optic Dysplasia	隔视发育不良
Disease::MESH:D026681	Vitamin B 6 Deficiency	维生素B6缺乏
Disease::MESH:D028226	Amyloidosis, Familial	淀粉样变性，家族性
